doc0	AP890321-0001
doc186	AP890128-0096
doc187	AP890128-0097
doc188	AP890128-0098
doc189	AP890128-0099
doc190	AP890128-0100
doc191	AP890128-0101
doc192	AP890128-0102
doc193	AP890128-0103
doc194	AP890128-0104
doc195	AP890128-0105
doc196	AP890128-0106
doc197	AP890128-0107
doc198	AP890128-0108
doc199	AP890128-0109
doc200	AP890128-0110
doc201	AP890128-0111
doc202	AP890128-0112
doc203	AP890128-0113
doc204	AP890128-0114
doc205	AP890128-0115
doc206	AP890128-0116
doc207	AP890128-0117
doc208	AP890128-0118
doc209	AP890128-0119
doc210	AP890128-0120
doc211	AP890128-0121
doc212	AP890128-0122
doc213	AP890128-0123
doc214	AP890128-0124
doc215	AP890128-0125
doc216	AP890128-0126
doc217	AP890128-0127
doc218	AP890128-0128
doc219	AP890128-0129
doc220	AP890128-0130
doc221	AP890128-0131
doc222	AP890128-0132
doc223	AP890128-0133
doc224	AP890128-0134
doc225	AP890128-0135
doc226	AP890128-0136
doc227	AP890128-0137
doc228	AP890128-0138
doc229	AP890128-0139
doc230	AP890128-0140
doc231	AP890128-0141
doc232	AP890128-0142
doc233	AP890128-0143
doc234	AP890128-0144
doc235	AP890128-0145
doc236	AP890128-0146
doc237	AP890128-0147
doc238	AP890128-0148
doc239	AP890128-0149
doc240	AP890128-0150
doc241	AP890128-0151
doc242	AP890128-0152
doc243	AP890128-0153
doc244	AP890128-0154
doc245	AP890128-0155
doc246	AP890128-0156
doc247	AP890128-0157
doc248	AP890128-0158
doc249	AP890128-0159
doc250	AP890128-0160
doc251	AP890128-0161
doc252	AP890128-0162
doc253	AP890128-0163
doc254	AP890128-0164
doc255	AP890128-0165
doc256	AP890128-0166
doc257	AP890128-0167
doc258	AP890128-0168
doc259	AP890128-0169
doc260	AP890128-0170
doc261	AP890219-0001
doc262	AP890219-0002
doc263	AP890219-0003
doc264	AP890219-0004
doc265	AP890219-0005
doc266	AP890219-0006
doc267	AP890219-0007
doc268	AP890219-0008
doc269	AP890219-0009
doc270	AP890219-0010
doc271	AP890219-0011
doc272	AP890219-0012
doc273	AP890219-0013
doc274	AP890219-0014
doc275	AP890219-0015
doc276	AP890219-0016
doc277	AP890219-0017
doc278	AP890219-0018
doc279	AP890219-0019
doc280	AP890219-0020
doc281	AP890219-0021
doc282	AP890219-0022
doc283	AP890219-0023
doc284	AP890219-0024
doc285	AP890219-0025
doc286	AP890219-0026
doc287	AP890219-0027
doc288	AP890219-0028
doc289	AP890219-0029
doc290	AP890219-0030
doc291	AP890219-0031
doc292	AP890219-0032
doc293	AP890219-0033
doc294	AP890219-0034
doc295	AP890219-0035
doc296	AP890219-0036
doc297	AP890219-0037
doc298	AP890219-0038
doc299	AP890219-0039
doc300	AP890219-0040
doc301	AP890219-0041
doc302	AP890219-0042
doc303	AP890219-0043
doc304	AP890219-0044
doc305	AP890219-0045
doc306	AP890219-0046
doc307	AP890219-0047
doc308	AP890219-0048
doc309	AP890219-0049
doc310	AP890219-0050
doc311	AP890219-0051
doc312	AP890219-0052
doc313	AP890219-0053
doc314	AP890219-0054
doc315	AP890219-0055
doc316	AP890219-0056
doc317	AP890219-0057
doc318	AP890219-0058
doc319	AP890219-0059
doc320	AP890219-0060
doc321	AP890219-0061
doc322	AP890219-0062
doc323	AP890219-0063
doc324	AP890219-0064
doc325	AP890219-0065
doc326	AP890219-0066
doc327	AP890219-0067
doc328	AP890219-0068
doc329	AP890219-0069
doc330	AP890219-0070
doc331	AP890219-0071
doc332	AP890219-0072
doc333	AP890219-0073
doc334	AP890219-0074
doc335	AP890219-0075
doc336	AP890219-0076
doc337	AP890219-0077
doc338	AP890219-0078
doc339	AP890219-0079
doc340	AP890219-0080
doc341	AP890219-0081
doc342	AP890219-0082
doc343	AP890219-0083
doc344	AP890219-0084
doc345	AP890219-0085
doc346	AP890219-0086
doc347	AP890219-0087
doc348	AP890219-0088
doc349	AP890219-0089
doc350	AP890219-0090
doc351	AP890219-0091
doc352	AP890219-0092
doc353	AP890219-0093
doc354	AP890219-0094
doc355	AP890219-0095
doc356	AP890219-0096
doc357	AP890219-0097
doc358	AP890219-0098
doc359	AP890219-0099
doc360	AP890219-0100
doc361	AP890219-0101
doc362	AP890219-0102
doc363	AP890219-0103
doc364	AP890219-0104
doc365	AP890219-0105
doc366	AP890219-0106
doc367	AP890219-0107
doc368	AP890219-0108
doc369	AP890219-0109
doc370	AP890219-0110
doc371	AP890225-0001
doc372	AP890225-0002
doc373	AP890225-0003
doc374	AP890225-0004
doc375	AP890225-0005
doc376	AP890225-0006
doc377	AP890225-0007
doc378	AP890225-0008
doc379	AP890225-0009
doc380	AP890225-0010
doc381	AP890225-0011
doc382	AP890225-0012
doc383	AP890225-0013
doc384	AP890225-0014
doc385	AP890225-0015
doc386	AP890225-0016
doc387	AP890225-0017
doc388	AP890225-0018
doc389	AP890225-0019
doc390	AP890225-0020
doc391	AP890225-0021
doc392	AP890225-0022
doc393	AP890225-0023
doc394	AP890225-0024
doc395	AP890225-0025
doc396	AP890225-0026
doc397	AP890225-0027
doc398	AP890225-0028
doc399	AP890225-0029
doc400	AP890225-0030
doc401	AP890225-0031
doc402	AP890225-0032
doc403	AP890225-0033
doc404	AP890225-0034
doc405	AP890225-0035
doc406	AP890225-0036
doc407	AP890225-0037
doc408	AP890225-0038
doc409	AP890225-0039
doc410	AP890225-0040
doc411	AP890225-0041
doc412	AP890225-0042
doc413	AP890225-0043
doc414	AP890225-0044
doc415	AP890225-0045
doc416	AP890225-0046
doc417	AP890225-0047
doc418	AP890225-0048
doc419	AP890225-0049
doc420	AP890225-0050
doc421	AP890225-0051
doc422	AP890225-0052
doc423	AP890225-0053
doc424	AP890225-0054
doc425	AP890225-0055
doc426	AP890225-0056
doc427	AP890225-0057
doc428	AP890225-0058
doc429	AP890225-0059
doc430	AP890225-0060
doc431	AP890225-0061
doc432	AP890225-0062
doc433	AP890225-0063
doc434	AP890225-0064
doc435	AP890225-0065
doc436	AP890225-0066
doc437	AP890225-0067
doc438	AP890225-0068
doc439	AP890225-0069
doc440	AP890225-0070
doc441	AP890225-0071
doc442	AP890225-0072
doc443	AP890225-0073
doc444	AP890225-0074
doc445	AP890225-0075
doc446	AP890225-0076
doc447	AP890225-0077
doc448	AP890225-0078
doc449	AP890225-0079
doc450	AP890225-0080
doc451	AP890225-0081
doc452	AP890225-0082
doc453	AP890225-0083
doc454	AP890225-0084
doc455	AP890225-0085
doc456	AP890225-0086
doc457	AP890225-0087
doc458	AP890225-0088
doc459	AP890225-0089
doc460	AP890225-0090
doc461	AP890225-0091
doc462	AP890225-0092
doc463	AP890225-0093
doc464	AP890225-0094
doc465	AP890225-0095
doc466	AP890225-0096
doc467	AP890225-0097
doc468	AP890225-0098
doc469	AP890225-0099
doc470	AP890225-0100
doc471	AP890225-0101
doc472	AP890225-0102
doc473	AP890225-0103
doc474	AP890225-0104
doc475	AP890225-0105
doc476	AP890225-0106
doc477	AP890225-0107
doc478	AP890225-0108
doc479	AP890225-0109
doc480	AP890225-0110
doc481	AP890225-0111
doc482	AP890225-0112
doc483	AP890225-0113
doc484	AP890225-0114
doc485	AP890225-0115
doc486	AP890225-0116
doc487	AP890225-0117
doc488	AP890225-0118
doc489	AP890225-0119
doc490	AP890225-0120
doc491	AP890225-0121
doc492	AP890225-0122
doc493	AP890225-0123
doc494	AP890225-0124
doc495	AP890225-0125
doc496	AP890225-0126
doc497	AP890225-0127
doc498	AP890225-0128
doc499	AP890225-0129
doc500	AP890225-0130
doc501	AP890225-0131
doc502	AP890225-0132
doc503	AP890225-0133
doc504	AP890225-0134
doc505	AP890225-0135
doc506	AP890225-0136
doc507	AP890225-0137
doc508	AP890225-0138
doc509	AP890225-0139
doc510	AP890225-0140
doc511	AP890225-0141
doc512	AP890225-0142
doc513	AP890225-0143
doc514	AP890225-0144
doc515	AP890225-0145
doc516	AP890225-0146
doc517	AP890225-0147
doc518	AP890225-0148
doc519	AP890225-0149
doc520	AP890225-0150
doc521	AP890225-0151
doc522	AP890225-0152
doc523	AP890225-0153
doc524	AP890225-0154
doc525	AP890225-0155
doc526	AP890225-0156
doc527	AP890225-0157
doc528	AP890225-0158
doc529	AP890225-0159
doc530	AP890225-0160
doc531	AP890225-0161
doc532	AP890225-0162
doc533	AP890416-0001
doc534	AP890416-0002
doc535	AP890416-0003
doc536	AP890416-0004
doc537	AP890416-0005
doc538	AP890416-0006
doc539	AP890416-0007
doc540	AP890416-0008
doc541	AP890416-0009
doc542	AP890416-0010
doc543	AP890416-0011
doc544	AP890416-0012
doc545	AP890416-0013
doc546	AP890416-0014
doc547	AP890416-0015
doc548	AP890416-0016
doc549	AP890416-0017
doc550	AP890416-0018
doc551	AP890416-0019
doc552	AP890416-0020
doc553	AP890416-0021
doc554	AP890416-0022
doc555	AP890416-0023
doc556	AP890416-0024
doc557	AP890416-0025
doc558	AP890416-0026
doc559	AP890416-0027
doc560	AP890416-0028
doc561	AP890416-0029
doc562	AP890416-0030
doc563	AP890416-0031
doc564	AP890416-0032
doc565	AP890416-0033
doc566	AP890416-0034
doc567	AP890416-0035
doc568	AP890416-0036
doc569	AP890416-0037
doc570	AP890416-0038
doc571	AP890416-0039
doc572	AP890416-0040
doc573	AP890416-0041
doc574	AP890416-0042
doc575	AP890416-0043
doc576	AP890416-0044
doc577	AP890416-0045
doc578	AP890416-0046
doc579	AP890416-0047
doc580	AP890416-0048
doc581	AP890416-0049
doc582	AP890416-0050
doc583	AP890416-0051
doc584	AP890416-0052
doc585	AP890416-0053
doc586	AP890416-0054
doc587	AP890416-0055
doc588	AP890416-0056
doc589	AP890416-0057
doc590	AP890416-0058
doc591	AP890416-0059
doc592	AP890416-0060
doc593	AP890416-0061
doc594	AP890416-0062
doc595	AP890416-0063
doc596	AP890416-0064
doc597	AP890416-0065
doc598	AP890416-0066
doc599	AP890416-0067
doc600	AP890416-0068
doc601	AP890416-0069
doc602	AP890416-0070
doc603	AP890416-0071
doc604	AP890416-0072
doc605	AP890416-0073
doc606	AP890416-0074
doc607	AP890416-0075
doc608	AP890416-0076
doc609	AP890416-0077
doc610	AP890416-0078
doc611	AP890416-0079
doc612	AP890416-0080
doc613	AP890416-0081
doc614	AP890416-0082
doc615	AP890416-0083
doc616	AP890423-0001
doc617	AP890423-0002
doc618	AP890423-0003
doc619	AP890423-0004
doc620	AP890423-0005
doc621	AP890423-0006
doc622	AP890423-0007
doc623	AP890423-0008
doc624	AP890423-0009
doc625	AP890423-0010
doc626	AP890423-0011
doc627	AP890423-0012
doc628	AP890423-0013
doc629	AP890423-0014
doc630	AP890423-0015
doc631	AP890423-0016
doc632	AP890423-0017
doc633	AP890423-0018
doc634	AP890423-0019
doc635	AP890423-0020
doc636	AP890423-0021
doc637	AP890423-0022
doc638	AP890423-0023
doc639	AP890423-0024
doc640	AP890423-0025
doc641	AP890423-0026
doc642	AP890423-0027
doc643	AP890423-0028
doc644	AP890423-0029
doc645	AP890423-0030
doc646	AP890423-0031
doc647	AP890423-0032
doc648	AP890423-0033
doc649	AP890423-0034
doc650	AP890423-0035
doc651	AP890423-0036
doc652	AP890423-0037
doc653	AP890423-0038
doc654	AP890423-0039
doc655	AP890423-0040
doc656	AP890423-0041
doc657	AP890423-0042
doc658	AP890423-0043
doc659	AP890423-0044
doc660	AP890423-0045
doc661	AP890423-0046
doc662	AP890423-0047
doc663	AP890423-0048
doc664	AP890423-0049
doc665	AP890423-0050
doc666	AP890423-0051
doc667	AP890423-0052
doc668	AP890423-0053
doc669	AP890423-0054
doc670	AP890423-0055
doc671	AP890423-0056
doc672	AP890423-0057
doc673	AP890423-0058
doc674	AP890423-0059
doc675	AP890423-0060
doc676	AP890423-0061
doc677	AP890423-0062
doc678	AP890423-0063
doc679	AP890423-0064
doc680	AP890423-0065
doc681	AP890423-0066
doc682	AP890423-0067
doc683	AP890423-0068
doc684	AP890423-0069
doc685	AP890423-0070
doc686	AP890423-0071
doc687	AP890423-0072
doc688	AP890423-0073
doc689	AP890423-0074
doc690	AP890423-0075
doc691	AP890423-0076
doc692	AP890423-0077
doc693	AP890423-0078
doc694	AP890423-0079
doc695	AP890423-0080
doc696	AP890423-0081
doc697	AP890423-0082
doc698	AP890423-0083
doc699	AP890423-0084
doc700	AP890423-0085
doc701	AP890423-0086
doc702	AP890423-0087
doc703	AP890423-0088
doc704	AP890423-0089
doc705	AP890423-0090
doc706	AP890423-0091
doc707	AP890423-0092
doc708	AP890423-0093
doc709	AP890423-0094
doc710	AP890423-0095
doc711	AP890514-0001
doc712	AP890514-0002
doc713	AP890514-0003
doc714	AP890514-0004
doc715	AP890514-0005
doc716	AP890514-0006
doc717	AP890514-0007
doc718	AP890514-0008
doc719	AP890514-0009
doc720	AP890514-0010
doc721	AP890514-0011
doc722	AP890514-0012
doc723	AP890514-0013
doc724	AP890514-0014
doc725	AP890514-0015
doc726	AP890514-0016
doc727	AP890514-0017
doc728	AP890514-0018
doc729	AP890514-0019
doc730	AP890514-0020
doc731	AP890514-0021
doc732	AP890514-0022
doc733	AP890514-0023
doc734	AP890514-0024
doc735	AP890514-0025
doc736	AP890514-0026
doc737	AP890514-0027
doc738	AP890514-0028
doc739	AP890514-0029
doc740	AP890514-0030
doc741	AP890514-0031
doc742	AP890514-0032
doc743	AP890514-0033
doc744	AP890514-0034
doc745	AP890514-0035
doc746	AP890514-0036
doc747	AP890514-0037
doc748	AP890514-0038
doc749	AP890514-0039
doc750	AP890514-0040
doc751	AP890514-0041
doc752	AP890514-0042
doc753	AP890514-0043
doc754	AP890514-0044
doc755	AP890514-0045
doc756	AP890514-0046
doc757	AP890514-0047
doc758	AP890514-0048
doc759	AP890514-0049
doc760	AP890514-0050
doc761	AP890514-0051
doc762	AP890514-0052
doc763	AP890514-0053
doc764	AP890514-0054
doc765	AP890514-0055
doc766	AP890514-0056
doc767	AP890514-0057
doc768	AP890514-0058
doc769	AP890514-0059
doc770	AP890514-0060
doc771	AP890514-0061
doc772	AP890514-0062
doc773	AP890514-0063
doc774	AP890514-0064
doc775	AP890514-0065
doc776	AP890514-0066
doc777	AP890514-0067
doc778	AP890514-0068
doc779	AP890514-0069
doc780	AP890514-0070
doc781	AP890514-0071
doc782	AP890514-0072
doc783	AP890514-0073
doc784	AP890514-0074
doc785	AP890514-0075
doc786	AP890514-0076
doc787	AP890514-0077
doc788	AP890514-0078
doc789	AP890514-0079
doc790	AP890514-0080
doc791	AP890514-0081
doc792	AP890514-0082
doc793	AP890514-0083
doc794	AP890514-0084
doc795	AP890514-0085
doc796	AP890611-0001
doc797	AP890611-0002
doc798	AP890611-0003
doc799	AP890611-0004
doc800	AP890611-0005
doc801	AP890611-0006
doc802	AP890611-0007
doc803	AP890611-0008
doc804	AP890611-0009
doc805	AP890611-0010
doc806	AP890611-0011
doc807	AP890611-0012
doc808	AP890611-0013
doc809	AP890611-0014
doc810	AP890611-0015
doc811	AP890611-0016
doc812	AP890611-0017
doc813	AP890611-0018
doc814	AP890611-0019
doc815	AP890611-0020
doc816	AP890611-0021
doc817	AP890611-0022
doc818	AP890611-0023
doc819	AP890611-0024
doc820	AP890611-0025
doc821	AP890611-0026
doc822	AP890611-0027
doc823	AP890611-0028
doc824	AP890611-0029
doc825	AP890611-0030
doc826	AP890611-0031
doc827	AP890611-0032
doc828	AP890611-0033
doc829	AP890611-0034
doc830	AP890611-0035
doc831	AP890611-0036
doc832	AP890611-0037
doc833	AP890611-0038
doc834	AP890611-0039
doc835	AP890611-0040
doc836	AP890611-0041
doc837	AP890611-0042
doc838	AP890611-0043
doc839	AP890611-0044
doc840	AP890611-0045
doc841	AP890611-0046
doc842	AP890611-0047
doc843	AP890611-0048
doc844	AP890611-0049
doc845	AP890611-0050
doc846	AP890611-0051
doc847	AP890611-0052
doc848	AP890611-0053
doc849	AP890611-0054
doc850	AP890611-0055
doc851	AP890611-0056
doc852	AP890611-0057
doc853	AP890611-0058
doc854	AP890611-0059
doc855	AP890611-0060
doc856	AP890611-0061
doc857	AP890611-0062
doc858	AP890611-0063
doc859	AP890611-0064
doc860	AP890611-0065
doc861	AP890611-0066
doc862	AP890611-0067
doc863	AP890611-0068
doc864	AP890611-0069
doc865	AP890611-0070
doc866	AP890611-0071
doc867	AP890611-0072
doc868	AP890611-0073
doc869	AP890611-0074
doc870	AP890611-0075
doc871	AP890611-0076
doc872	AP890611-0077
doc873	AP890611-0078
doc874	AP890611-0079
doc875	AP890611-0080
doc876	AP890611-0081
doc877	AP890611-0082
doc878	AP890611-0083
doc879	AP890611-0084
doc880	AP890611-0085
doc881	AP890611-0086
doc882	AP890702-0001
doc883	AP890702-0002
doc884	AP890702-0003
doc885	AP890702-0004
doc886	AP890702-0005
doc887	AP890702-0006
doc888	AP890702-0007
doc889	AP890702-0008
doc890	AP890702-0009
doc891	AP890702-0010
doc892	AP890702-0011
doc893	AP890702-0012
doc894	AP890702-0013
doc895	AP890702-0014
doc896	AP890702-0015
doc897	AP890702-0016
doc898	AP890702-0017
doc899	AP890702-0018
doc900	AP890702-0019
doc901	AP890702-0020
doc902	AP890702-0021
doc903	AP890702-0022
doc904	AP890702-0023
doc905	AP890702-0024
doc906	AP890702-0025
doc907	AP890702-0026
doc908	AP890702-0027
doc909	AP890702-0028
doc910	AP890702-0029
doc911	AP890702-0030
doc912	AP890702-0031
doc913	AP890702-0032
doc914	AP890702-0033
doc915	AP890702-0034
doc916	AP890702-0035
doc917	AP890702-0036
doc918	AP890702-0037
doc919	AP890702-0038
doc920	AP890702-0039
doc921	AP890702-0040
doc922	AP890702-0041
doc923	AP890702-0042
doc924	AP890702-0043
doc925	AP890702-0044
doc926	AP890702-0045
doc927	AP890702-0046
doc928	AP890702-0047
doc929	AP890702-0048
doc930	AP890702-0049
doc931	AP890702-0050
doc932	AP890702-0051
doc933	AP890702-0052
doc934	AP890702-0053
doc935	AP890702-0054
doc936	AP890702-0055
doc937	AP890702-0056
doc938	AP890702-0057
doc939	AP890702-0058
doc940	AP890702-0059
doc941	AP890702-0060
doc942	AP890702-0061
doc943	AP890702-0062
doc944	AP890702-0063
doc945	AP890702-0064
doc946	AP890702-0065
doc947	AP890702-0066
doc948	AP890702-0067
doc949	AP890702-0068
doc950	AP890702-0069
doc951	AP890702-0070
doc952	AP890702-0071
doc953	AP890702-0072
doc954	AP890716-0001
doc955	AP890716-0002
doc956	AP890716-0003
doc957	AP890716-0004
doc958	AP890716-0005
doc959	AP890716-0006
doc960	AP890716-0007
doc961	AP890716-0008
doc962	AP890716-0009
doc963	AP890716-0010
doc964	AP890716-0011
doc965	AP890716-0012
doc966	AP890716-0013
doc967	AP890716-0014
doc968	AP890716-0015
doc969	AP890716-0016
doc970	AP890716-0017
doc971	AP890716-0018
doc972	AP890716-0019
doc973	AP890716-0020
doc974	AP890716-0021
doc975	AP890716-0022
doc976	AP890716-0023
doc977	AP890716-0024
doc978	AP890716-0025
doc979	AP890716-0026
doc980	AP890716-0027
doc981	AP890716-0028
doc982	AP890716-0029
doc983	AP890716-0030
doc984	AP890716-0031
doc985	AP890716-0032
doc986	AP890716-0033
doc987	AP890716-0034
doc988	AP890716-0035
doc989	AP890716-0036
doc990	AP890716-0037
doc991	AP890716-0038
doc992	AP890716-0039
doc993	AP890716-0040
doc994	AP890716-0041
doc995	AP890716-0042
doc996	AP890716-0043
doc997	AP890716-0044
doc998	AP890716-0045
doc999	AP890716-0046
doc1000	AP890716-0047
doc1001	AP890716-0048
doc1002	AP890716-0049
doc1003	AP890716-0050
doc1004	AP890716-0051
doc1005	AP890716-0052
doc1006	AP890716-0053
doc1007	AP890716-0054
doc1008	AP890716-0055
doc1009	AP890716-0056
doc1010	AP890716-0057
doc1011	AP890716-0058
doc1012	AP890716-0059
doc1013	AP890716-0060
doc1014	AP890716-0061
doc1015	AP890716-0062
doc1016	AP890716-0063
doc1017	AP890716-0064
doc1018	AP890716-0065
doc1019	AP890716-0066
doc1020	AP890716-0067
doc1021	AP890716-0068
doc1022	AP890716-0069
doc1023	AP890716-0070
doc1024	AP890716-0071
doc1025	AP890716-0072
doc1026	AP890716-0073
doc1027	AP890716-0074
doc1028	AP890716-0075
doc1029	AP890716-0076
doc1030	AP890716-0077
doc1031	AP890716-0078
doc1032	AP890716-0079
doc1033	AP890716-0080
doc1034	AP890716-0081
doc1035	AP890716-0082
doc1036	AP890716-0083
doc1037	AP890716-0084
doc1038	AP890716-0085
doc1039	AP890716-0086
doc1040	AP890716-0087
doc1041	AP890716-0088
doc1042	AP890716-0089
doc1043	AP890716-0090
doc1044	AP890716-0091
doc1045	AP890716-0092
doc1046	AP890716-0093
doc1047	AP890716-0094
doc1048	AP890716-0095
doc1049	AP890716-0096
doc1050	AP890716-0097
doc1051	AP890716-0098
doc1052	AP890716-0099
doc1053	AP890716-0100
doc1054	AP890716-0101
doc1055	AP890716-0102
doc1056	AP890716-0103
doc1057	AP890716-0104
doc1058	AP890716-0105
doc1059	AP890716-0106
doc1060	AP890716-0107
doc1061	AP890806-0001
doc1062	AP890806-0002
doc1063	AP890806-0003
doc1064	AP890806-0004
doc1065	AP890806-0005
doc1066	AP890806-0006
doc1067	AP890806-0007
doc1068	AP890806-0008
doc1069	AP890806-0009
doc1070	AP890806-0010
doc1071	AP890806-0011
doc1072	AP890806-0012
doc1073	AP890806-0013
doc1074	AP890806-0014
doc1075	AP890806-0015
doc1076	AP890806-0016
doc1077	AP890806-0017
doc1078	AP890806-0018
doc1079	AP890806-0019
doc1080	AP890806-0020
doc1081	AP890806-0021
doc1082	AP890806-0022
doc1083	AP890806-0023
doc1084	AP890806-0024
doc1085	AP890806-0025
doc1086	AP890806-0026
doc1087	AP890806-0027
doc1088	AP890806-0028
doc1089	AP890806-0029
doc1090	AP890806-0030
doc1091	AP890806-0031
doc1092	AP890806-0032
doc1093	AP890806-0033
doc1094	AP890806-0034
doc1095	AP890806-0035
doc1096	AP890806-0036
doc1097	AP890806-0037
doc1098	AP890806-0038
doc1099	AP890806-0039
doc1100	AP890806-0040
doc1101	AP890806-0041
doc1102	AP890806-0042
doc1103	AP890806-0043
doc1104	AP890806-0044
doc1105	AP890806-0045
doc1106	AP890806-0046
doc1107	AP890806-0047
doc1108	AP890806-0048
doc1109	AP890806-0049
doc1110	AP890806-0050
doc1111	AP890806-0051
doc1112	AP890806-0052
doc1113	AP890806-0053
doc1114	AP890806-0054
doc1115	AP890806-0055
doc1116	AP890806-0056
doc1117	AP890806-0057
doc1118	AP890806-0058
doc1119	AP890806-0059
doc1120	AP890806-0060
doc1121	AP890806-0061
doc1122	AP890806-0062
doc1123	AP890806-0063
doc1124	AP890806-0064
doc1125	AP890806-0065
doc1126	AP890806-0066
doc1127	AP890806-0067
doc1128	AP890806-0068
doc1129	AP890806-0069
doc1130	AP890806-0070
doc1131	AP890806-0071
doc1132	AP890806-0072
doc1133	AP890806-0073
doc1134	AP890806-0074
doc1135	AP890806-0075
doc1136	AP890806-0076
doc1137	AP890806-0077
doc1138	AP890806-0078
doc1139	AP890826-0001
doc1140	AP890826-0002
doc1141	AP890826-0003
doc1142	AP890826-0004
doc1143	AP890826-0005
doc1144	AP890826-0006
doc1145	AP890826-0007
doc1146	AP890826-0008
doc1147	AP890826-0009
doc1148	AP890826-0010
doc1149	AP890826-0011
doc1150	AP890826-0012
doc1151	AP890826-0013
